name,country,state,rank,tuition,intlRate,type,schoolSize,strengths,gptSummary,logoUrl,acceptanceRate,satRange,actRange,gpaRange,applicationDeadline,website,supports_ed,supports_ea,supports_rd,has_internship_program,has_research_program,internship_support_score,personality_types,tags
Cornell University,USA,New York,11,71266,0.1,private,medium,"['engineering', 'biology', 'agriculture', 'business', 'natural sciences']",康奈尔大学是常春藤盟校中学科最全面的大学之一，涵盖工程、农业、酒店管理和兽医学等特色学科。其工程学院和农业研究在全球领先，重视实践与科研结合。康奈尔校区坐落于风景优美的伊萨卡，强调学生多样性与社会责任。,,0.084,1480-1560,33-35,3.80-3.95,2025-01-02,https://www.cornell.edu,True,False,True,True,False,8,"['全能型', '实践型']","['academic_competitions', 'recommendation_letter_support', 'career_center_support', 'undergrad_research']"
University of Chicago,USA,Illinois,11,71325,0.12,private,medium,"['economics', 'social sciences', 'law', 'humanities', 'public policy']",芝加哥大学以经济学和社会科学研究闻名，拥有多位诺贝尔奖获得者。学校学术氛围严谨，强调批判性思维和学术自由。芝加哥大学的本科教育以核心课程体系著称，推动学生跨学科学习。校园文化独特，重视学术讨论和思想探索。,,0.05,1510-1560,34-35,3.85-3.98,2025-01-06,https://www.uchicago.edu,True,True,True,True,False,8,"['学术明星型', '探究型']","['academic_competitions', 'recommendation_letter_support', 'career_center_support', 'undergrad_research']"
Brown University,USA,Rhode Island,13,71700,0.11,private,small,"['humanities', 'public health', 'arts', 'social sciences', 'education']",布朗大学是常春藤盟校，以其独特的开放课程体系而闻名，允许学生自由设计学业计划。学校强调跨学科探索与个性化教育，注重学生自主性与创造力培养。布朗在人文学科和社会科学方面实力突出，校园氛围自由且包容。,,0.045,1510-1560,34-35,3.85-3.98,2025-01-05,https://www.brown.edu,True,False,True,False,False,7,"['艺术型', '学术明星型']","['recommendation_letter_support', 'academic_competitions', 'undergrad_research', 'student_government_support']"
Columbia University,USA,New York,13,70170,0.16,private,medium,"['international relations', 'law', 'business', 'journalism', 'humanities']",哥伦比亚大学位于纽约市中心，新闻学、国际事务、法学和金融专业全球领先。学校地理位置优越，与国际组织、媒体和企业联系紧密。作为常春藤盟校成员，它在科研、人文和社会科学方面均具影响力，校友网络遍布世界。,,0.043,1510-1560,34-35,3.85-3.98,2025-01-01,https://www.columbia.edu,True,False,True,True,False,10,"['全能型', '学术明星型']","['career_center_support', 'recommendation_letter_support', 'academic_competitions', 'undergrad_research']"
Dartmouth College,USA,New Hampshire,15,69207,0.1,private,small,"['humanities', 'economics', 'social sciences', 'public policy', 'arts']",达特茅斯学院是常春藤盟校中最注重本科教学的院校之一，以小班制和人文学科见长。学校位于新罕布什尔州小镇，强调师生互动与紧密社区氛围。尽管规模较小，但科研资源丰富，校友在政界、学术界和商界具有广泛影响力。,,0.06,1440-1560,33-35,3.85-3.98,2025-01-02,https://home.dartmouth.edu,True,False,True,False,False,6,"['社交型', '全能型']","['recommendation_letter_support', 'academic_competitions', 'undergrad_research', 'student_government_support']"
"University of California, Los Angeles",USA,California,15,37602,0.12,public,medium,"['arts', 'biology', 'engineering', 'social sciences', 'law']",UCLA是加州大学系统的旗舰之一，学科覆盖广泛，以影视艺术、医学、工程和社会科学著称。作为全美申请人数最多的学校之一，它为学生提供丰富的科研与实习机会。UCLA多元化校园氛围浓厚，国际影响力强大。,,0.09,1450-1510,29-34,3.70-3.90,2024-11-30,https://www.ucla.edu,False,False,True,True,False,10,"['社交型', '实践型']","['career_center_support', 'academic_competitions', 'recommendation_letter_support', 'student_government_support']"
"University of California, Berkeley",USA,California,17,37602,0.17,public,medium,"['computer science', 'economics', 'law', 'engineering', 'political science']",UC Berkeley是全球顶尖的公立研究型大学，长期位列世界学术排名前列。学校在计算机科学、工程、物理学和社会科学方面实力雄厚，科研成果卓越。伯克利强调社会责任和创新精神，培养了众多诺奖得主与行业先锋。,,0.11,1450-1510,29-34,3.80-4.00,2024-11-30,https://www.berkeley.edu,False,False,True,True,False,10,"['探究型', '实践型']","['academic_competitions', 'career_center_support', 'undergrad_research', 'entrepreneurship_friendly']"
Rice University,USA,Texas,18,66540,0.12,private,small,"['engineering', 'natural sciences', 'chemistry', 'computer science', 'physics']",莱斯大学是一所小而精的私立研究型大学，理工科和音乐学院实力突出。学校注重本科科研与跨学科教育，实验室机会丰富。莱斯位于休斯顿，依托当地能源与医疗产业发展，学生在科研与就业方面资源优越，校友影响力不断提升。,,0.078,1510-1560,34-35,3.85-3.98,2025-01-04,https://www.rice.edu,True,False,True,False,False,7,"['探究型', '全能型']","['academic_competitions', 'recommendation_letter_support', 'undergrad_research', 'entrepreneurship_friendly']"
University of Notre Dame,USA,Indiana,18,67100,0.06,private,small,"['business', 'humanities', 'political science', 'law', 'theology']",圣母大学是一所天主教背景的顶尖私立大学，以人文学科和本科教育质量闻名。学校强调价值观教育和校园传统，同时在工程和商科领域表现突出。圣母大学注重社区与文化建设，校友网络在学术、体育与公共服务领域活跃。,,0.09,1440-1540,33-35,3.80-3.95,2025-01-01,https://www.nd.edu,False,True,True,False,False,7,"['全能型', '实践型']","['recommendation_letter_support', 'community_service_opportunities', 'academic_competitions', 'student_government_support']"
Vanderbilt University,USA,Tennessee,18,67934,0.1,private,medium,"['education', 'medicine', 'law', 'business', 'social sciences']",范德堡大学位于田纳西州纳什维尔市，是美国南部的顶尖私立学府。学校在医学、教育和商学领域具有突出优势，同时兼顾本科教育质量。范德堡注重科研与实践结合，校园氛围开放多元，校友在医疗、教育和政策领域成就卓著。,,0.047,1500-1560,34-35,3.85-3.98,2025-01-01,https://www.vanderbilt.edu,True,False,True,True,False,8,"['全能型', '社交型']","['recommendation_letter_support', 'career_center_support', 'academic_competitions', 'student_government_support']"
Carnegie Mellon University,USA,Pennsylvania,21,67020,0.22,private,medium,"['computer science', 'engineering', 'arts', 'business', 'natural sciences']",CMU是全球计算机科学和人工智能研究的领军者，其工程、机器人和艺术学院同样享誉世界。学校重视跨学科合作，推动技术与艺术融合。卡内基梅隆的科研成果广泛应用于产业与社会发展，培养了大批科技与艺术领域人才。,,0.11,1500-1560,34-35,3.80-3.95,2025-01-03,https://www.cmu.edu,True,False,True,True,False,9,"['实践型', '探究型']","['career_center_support', 'academic_competitions', 'undergrad_research', 'entrepreneurship_friendly']"
"University of Michigan, Ann Arbor",USA,Michigan,21,63081,0.09,public,large,"['business', 'engineering', 'public policy', 'medicine', 'computer science']",密歇根大学是美国顶尖公立大学之一，科研经费常年位列全国前列。学校在工程、医学、商科、社会科学等领域表现突出，校友影响力遍及政界和产业界。密歇根大学注重本科科研与实践教育，校园文化多元且学术氛围浓厚。,,0.18,1380-1520,31-34,3.75-3.90,2025-02-01,https://umich.edu,False,True,True,True,False,9,"['全能型', '实践型']","['career_center_support', 'academic_competitions', 'undergrad_research', 'student_government_support']"
Washington University in St. Louis,USA,Missouri,21,68240,0.16,private,medium,"['medicine', 'social sciences', 'arts', 'biology', 'business']",圣路易斯华盛顿大学是一所私立研究型大学，尤其以医学和生命科学研究著称。其商学院和社会科学同样实力不俗。学校注重本科科研机会，提供良好的师资与学术支持。位于中西部的地理位置也为学生带来独特的社区与人脉资源。,,0.12,1500-1550,33-35,3.85-3.98,2025-01-03,https://wustl.edu,True,False,True,True,False,8,"['学术明星型', '全能型']","['career_center_support', 'undergrad_research', 'entrepreneurship_friendly', 'academic_competitions']"
Emory University,USA,Georgia,24,61922,0.18,private,medium,"['public health', 'biology', 'business', 'medicine', 'social sciences']",埃默里大学位于亚特兰大，以公共健康、医学和商科研究见长。学校在社会科学和人文学科方面也有深厚积累。本科教育注重多元化与跨学科培养，科研机会广泛。埃默里与疾病控制中心等机构联系紧密，毕业生在医疗与公共政策领域活跃。,,0.107,1430-1530,32-34,3.75-3.90,2025-01-01,https://www.emory.edu,True,False,True,False,False,7,"['全能型', '实践型']","['community_service_opportunities', 'academic_competitions', 'student_government_support', 'undergrad_research']"
Georgetown University,USA,District of Columbia,24,71156,0.12,private,medium,"['international relations', 'law', 'public policy', 'business', 'political science']",乔治城大学位于华盛顿特区，是美国培养政治与外交人才的重要摇篮。学校在法学院、国际关系和公共政策方面享有盛誉。乔治城强调实践与学术结合，学生可直接接触政府、国际组织和智库，毕业生在国际事务与公共服务领域影响力巨大。,,0.122,1390-1530,31-34,3.80-3.95,2025-01-10,https://www.georgetown.edu,False,True,True,True,False,9,"['社交型', '全能型']","['community_service_opportunities', 'career_center_support', 'student_government_support', 'academic_competitions']"
University of Virginia,USA,Virginia,24,55436,0.06,public,medium,"['law', 'humanities', 'business', 'economics', 'public policy']",弗吉尼亚大学由美国第三任总统托马斯·杰斐逊创建，以文理平衡和校园建筑闻名。学校在法学院和商学院方面表现突出，同时在本科教育质量和公共事务研究中享有盛誉。作为公立旗舰大学，它注重学生综合素质培养与科研机会提供。,,0.154,1380-1500,30-34,3.70-3.90,2025-01-01,https://www.virginia.edu,True,True,True,True,False,8,"['全能型', '实践型']","['career_center_support', 'student_government_support', 'academic_competitions', 'community_service_opportunities']"
University of North Carolina at Chapel Hill,USA,North Carolina,27,39330,0.08,public,medium,"['public health', 'social sciences', 'business', 'education', 'political science']",UNC是美国历史最悠久的公立大学之一，以新闻传播、商学院和医学研究著称。学校注重公共服务与社会责任培养，本科科研和社区参与机会丰富。UNC校园氛围开放活跃，校友在体育、新闻与公共政策领域表现卓越。,,0.19,1360-1510,29-33,3.70-3.90,2025-01-15,https://www.unc.edu,False,True,True,True,False,8,"['全能型', '社交型']","['career_center_support', 'academic_competitions', 'student_government_support', 'undergrad_research']"
University of Southern California,USA,California,27,69904,0.15,private,medium,"['arts', 'business', 'engineering', 'communication', 'film']",USC位于洛杉矶市中心，以影视艺术、工程学和商学院著称。学校校友资源广泛，与好莱坞及科技产业联系紧密。USC重视本科科研与实践机会，学生在传媒与创新创业领域活跃。校园国际化程度高，吸引全球优秀学子。,,0.104,1450-1550,31-34,3.75-3.95,2025-01-15,https://www.usc.edu,False,True,True,True,False,10,"['社交型', '实践型']","['career_center_support', 'entrepreneurship_friendly', 'academic_competitions', 'student_government_support']"
"University of California, San Diego",USA,California,29,37602,0.17,public,medium,"['biology', 'engineering', 'natural sciences', 'oceanography', 'computer science']",UCSD在生物医学、海洋学和计算机科学方面具有全球领先地位。科研经费庞大，本科生可参与丰富的实验与研究项目。学校注重跨学科合作与创新精神，地处加州沿海城市，环境优美，培养了大量科研与产业精英。,,0.25,1400-1520,29-33,3.75-3.95,2024-11-30,https://ucsd.edu,False,False,True,True,False,9,"['探究型', '全能型']","['career_center_support', 'academic_competitions', 'student_government_support', 'undergrad_research']"
New York University,USA,New York,30,62796,0.22,private,large,"['arts', 'business', 'law', 'humanities', 'social sciences']",NYU位于纽约市中心，是一所国际化综合性大学。其商学院、法学院和艺术学院享誉世界，与金融、传媒和国际组织联系紧密。NYU为本科生提供广泛的实习与科研机会，校园文化多元开放，吸引来自全球的人才与资源。,,0.077,1400-1520,30-34,3.70-3.90,2025-01-05,https://www.nyu.edu,True,False,True,True,False,10,"['社交型', '全能型']","['career_center_support', 'entrepreneurship_friendly', 'recommendation_letter_support', 'academic_competitions']"
University of Florida,USA,Florida,30,28658,0,public,large,"['biology', 'business', 'engineering', 'agriculture', 'law']",佛罗里达大学是南部顶尖公立大学，科研投入巨大，在农业、工程和生命科学方面实力突出。学校注重本科教育与科研融合，学生有丰富机会参与项目。UF校园氛围活力充沛，体育文化浓厚，校友在政商界影响力不断增强。,,0.24,1380-1510,29-33,3.60-3.85,2025-11-01,,False,True,True,True,False,8,"['探究型', '全能型']","['career_center_support', 'undergrad_research', 'student_government_support', 'student_club_support']"
The University of Texas--Austin,USA,Texas,30,50838,0,public,large,"['engineering', 'computer science', 'business', 'law', 'social sciences']",UT Austin是德州旗舰大学，以工程、计算机科学和商学院见长。学校科研实力雄厚，与能源、科技和政策产业联系紧密。本科教育强调创新与实践，校园文化多元化，校友在科技与政治领域影响深远。,,0.27,1360-1500,29-34,3.60-3.85,2024-12-01,,False,True,True,True,False,9,"['社交型', '全能型']","['career_center_support', 'entrepreneurship_friendly', 'student_club_support', 'student_government_support']"
Georgia Institute of Technology-Main Campus,USA,Georgia,33,34484,0.1,public,medium,"['engineering', 'computer science', 'business', 'physics', 'natural sciences']",佐治亚理工学院是美国顶尖工科大学之一，计算机、航空航天和工程学全球领先。学校科研氛围浓厚，学生参与产业合作与创新项目的机会丰富。位于亚特兰大的区位优势，使其校友在科技、制造与创业领域具有巨大影响力。,,0.127,1400-1520,31-34,3.70-3.90,2025-01-04,https://www.gatech.edu,False,True,True,True,False,9,"['探究型', '全能型']","['career_center_support', 'student_government_support', 'undergrad_research', 'entrepreneurship_friendly']"
University of California-Davis,USA,California,33,37602,0.1507,public,medium,"['biology', 'natural sciences', 'agriculture', 'veterinary', 'chemistry']",UC Davis以农业、环境科学和生命科学研究著称，是美国农业科研的重要基地。学校科研投入庞大，本科教育重视实践与科研结合。UC Davis校园环境优美，强调可持续发展理念，毕业生在科研与农业产业广泛活跃。,,0.46,1400-1520,29-33,3.70-3.90,2024-11-30,https://www.ucdavis.edu,False,False,True,True,False,8,"['社交型', '全能型']","['career_center_support', 'student_government_support', 'undergrad_research', 'entrepreneurship_friendly']"
University of California-Irvine,USA,California,33,37602,0.1558,public,medium,"['computer science', 'biology', 'social sciences', 'engineering', 'public health']",UC Irvine位于橙县，近年来在计算机科学、医学和公共健康研究方面发展迅速。学校注重本科科研和跨学科教育，提供多样化项目机会。UCI校园氛围现代多元，强调创新与社会责任，校友在学术与科技领域影响力上升。,,0.29,1400-1520,29-33,3.70-3.90,2024-11-30,https://uci.edu,False,False,True,True,False,8,"['探究型', '全能型']","['career_center_support', 'student_government_support', 'undergrad_research', 'entrepreneurship_friendly']"
University of Illinois at Urbana-Champaign,USA,Illinois,33,49742,0.192,public,large,"['engineering', 'computer science', 'business', 'physics', 'education']",UIUC是美国工科和计算机科学最强的公立大学之一，工程学院排名靠前。学校科研经费雄厚，本科科研与实习机会丰富。UIUC在数学、物理与人文学科方面也具优势，校友在科技和学术领域成就斐然。,,0.42,1380-1520,29-34,3.70-3.90,2025-01-05,https://illinois.edu,False,True,True,True,False,9,"['社交型', '全能型']","['career_center_support', 'student_government_support', 'undergrad_research', 'entrepreneurship_friendly']"
Boston College,USA,Massachusetts,37,72180,0.1209,private,small,"['business', 'humanities', 'education', 'law', 'social sciences']",波士顿学院是一所天主教背景的著名私立大学，以人文学科、商科和教育学见长。学校强调本科教育质量，重视价值观与社会责任。波士顿学院校园氛围浓厚，提供良好科研支持，培养了大批政商学界与文化精英。,,0.126,1420-1520,31-34,3.75-3.95,2025-01-05,https://www.bc.edu,True,False,True,False,False,7,"['探究型', '全能型']","['community_service_opportunities', 'student_club_support', 'student_government_support', 'undergrad_research']"
Tufts University,USA,Massachusetts,37,71982,0.1463,private,small,"['international relations', 'biology', 'arts', 'public health', 'humanities']",塔夫茨大学位于波士顿，以国际关系、医学院和人文学科著称。学校注重跨学科教育与科研实践，本科科研机会充足。塔夫茨强调学生全球视野与社会责任，毕业生活跃于公共政策、医疗健康与国际事务领域。,,0.105,1460-1560,32-34,3.85-3.98,2025-01-06,https://www.tufts.edu,True,False,True,False,False,7,"['社交型', '全能型']","['student_club_support', 'community_service_opportunities', 'undergrad_research', 'student_government_support']"
University of California-Santa Barbara,USA,California,39,37602,0.1247,public,medium,"['physics', 'engineering', 'natural sciences', 'arts', 'biology']",UCSB在物理、材料科学和工程研究方面享有国际声誉。学校科研资源丰富，本科教育注重实验与创新。UCSB校园环境优美，海滨地理位置独特，培养了众多科学家与产业领袖，在学术和产业界均具影响力。,,0.329,1400-1500,29-33,3.70-3.90,2024-11-30,https://www.ucsb.edu,False,False,True,True,False,8,"['探究型', '全能型']","['student_government_support', 'community_service_opportunities', 'undergrad_research', 'entrepreneurship_friendly']"
University of Wisconsin-Madison,USA,Wisconsin,39,44210,0.1537,public,large,"['engineering', 'biology', 'business', 'agriculture', 'education']",UW–Madison是美国顶尖公立研究型大学之一，科研经费全美领先。生命科学、工程与社会科学等学科实力突出。学校重视本科科研机会，校园文化多元，体育氛围浓厚。校友在政治、科技与教育领域贡献巨大。,,0.433,1340-1500,27-32,3.60-3.85,2025-01-15,https://www.wisc.edu,False,True,True,True,False,9,"['社交型', '全能型']","['entrepreneurship_friendly', 'student_government_support', 'undergrad_research', 'student_club_support']"
Boston University,USA,Massachusetts,41,69870,0.2858,private,medium,"['business', 'public health', 'arts', 'medicine', 'communication']",BU是一所综合性私立研究型大学，医学院科研实力强大。传媒、商学和艺术学科同样享有声誉。BU注重本科科研与跨学科教育，提供丰富实习与国际交流机会。位于波士顿的地理优势为学生提供大量社会资源与人脉。,,0.111,1430-1520,30-33,3.70-3.90,2025-01-04,https://www.bu.edu,True,False,True,True,False,9,"['探究型', '全能型']","['entrepreneurship_friendly', 'student_government_support', 'student_club_support', 'community_service_opportunities']"
Ohio State University-Main Campus,USA,Ohio,41,42423,0.0982,public,large,"['engineering', 'business', 'biology', 'medicine', 'social sciences']",OSU是美国规模最大的公立大学之一，科研领域广泛，工程、农业和医学实力突出。学校为本科生提供丰富科研和实习机会。校园体育文化发达，校友网络庞大，社会影响力强大，是典型的公立旗舰大学代表。,,0.572,1300-1460,27-32,3.50-3.75,2025-02-01,https://www.osu.edu,False,True,True,True,False,9,"['社交型', '全能型']","['community_service_opportunities', 'student_club_support', 'entrepreneurship_friendly', 'student_government_support']"
Rutgers University-New Brunswick,USA,New Jersey,41,44210,0.0987,public,large,"['public policy', 'business', 'biology', 'pharmacy', 'engineering']",罗格斯是新泽西州的旗舰大学，在工程、商科和人文学科方面发展迅速。科研投入逐年增加，本科科研与社区合作机会多。罗格斯强调学生多样性与社会责任，校友在科技、教育与公共服务领域广泛活跃。,,0.65,1260-1440,27-32,3.50-3.75,2025-12-01,https://www.rutgers.edu,False,True,True,True,False,8,"['探究型', '全能型']","['community_service_opportunities', 'student_club_support', 'entrepreneurship_friendly', 'student_government_support']"
University of Maryland-College Park,USA,Maryland,44,41974,0.1155,public,large,"['computer science', 'engineering', 'public policy', 'physics', 'social sciences']",UMD位于华盛顿特区附近，在计算机科学、物理学和工程学领域研究领先。学校与政府机构及企业有紧密合作，为本科生提供丰富科研机会。UMD注重跨学科教育与社会影响，校友在科技和政策领域成就显著。,,0.448,1280-1460,28-33,3.50-3.75,2025-01-20,https://www.umd.edu,False,True,True,True,False,8,"['社交型', '全能型']","['community_service_opportunities', 'student_club_support', 'entrepreneurship_friendly', 'student_government_support']"
University of Rochester,USA,New York,44,69030,0.26,private,small,"['physics', 'natural sciences', 'arts', 'biology', 'engineering']",罗切斯特大学以医学、光学和音乐学院著称，是一所综合性研究型大学。本科科研机会丰富，师生比例适中，强调跨学科探索。罗切斯特与当地医疗和科技产业紧密联系，校友在科研、医疗与文化领域活跃。,,0.4,1470-1550,31-34,3.80-3.95,2025-01-05,https://www.rochester.edu,True,False,True,False,False,7,"['探究型', '全能型']","['student_club_support', 'entrepreneurship_friendly', 'student_government_support', 'community_service_opportunities']"
Lehigh University,USA,Pennsylvania,46,66810,0.1365,private,small,"['engineering', 'business', 'natural sciences', 'computer science', 'education']",理海大学以工科和商科著称，强调实践教育和科研结合。学校规模中等，注重个性化培养和学术支持。理海提供丰富的本科科研与实习机会，校友在工程、制造和金融领域具有影响力，校园氛围兼具学术与实践导向。,,0.259,1350-1480,29-32,3.50-3.75,2025-01-01,https://www1.lehigh.edu,True,False,True,False,False,6,"['探究型', '全能型']","['student_club_support', 'community_service_opportunities', 'entrepreneurship_friendly', 'recommendation_letter_support']"
Purdue University-Main Campus,USA,Indiana,46,33154,0.1774,public,large,"['engineering', 'computer science', 'natural sciences', 'agriculture', 'physics']",普渡大学是全球著名的工科强校，以航空航天、机械和电气工程闻名。学校科研氛围浓厚，本科生有丰富的研究机会和实践项目。普渡在农业和生命科学领域同样具优势，校友在航空航天与科技产业广泛活跃，社会声誉卓著。,,0.53,1300-1460,27-33,3.50-3.75,2025-01-15,https://www.purdue.edu,False,True,True,True,False,9,"['社交型', '全能型']","['community_service_opportunities', 'student_club_support', 'recommendation_letter_support', 'entrepreneurship_friendly']"
University of Georgia,USA,Georgia,46,30878,0.0544,public,large,"['agriculture', 'business', 'social sciences', 'biology', 'education']",乔治亚大学是南部公立旗舰大学，以农业、生态学和公共政策见长。学校科研投入稳定增长，本科教育质量突出，学生参与科研和社区服务机会丰富。校园氛围浓厚，校友在教育、科研和公共服务领域有广泛影响。,,0.329,1300-1460,27-32,3.50-3.75,2025-01-01,https://www.uga.edu,False,True,True,False,False,7,"['探究型', '全能型']","['student_club_support', 'community_service_opportunities', 'entrepreneurship_friendly', 'recommendation_letter_support']"
University of Washington-Seattle Campus,USA,Washington,46,44640,0.1464,public,large,"['computer science', 'biology', 'public health', 'engineering', 'international relations']",华盛顿大学科研经费常年位居全美前列，在医学、计算机科学、工程和生命科学研究方面实力极强。地处西雅图，学校与微软、亚马逊等科技企业保持紧密合作，为本科生提供丰富的科研和实习机会。其校友在科技、医疗和学术领域具有广泛影响力。,,0.48,1350-1490,27-33,3.50-3.75,2025-11-15,https://www.washington.edu,False,False,True,True,False,9,"['社交型', '全能型']","['community_service_opportunities', 'entrepreneurship_friendly', 'student_club_support', 'recommendation_letter_support']"
Wake Forest University,USA,North Carolina,46,70332,0.0809,private,small,"['business', 'public health', 'humanities', 'medicine', 'social sciences']",维克森林大学是一所注重本科教育的私立学府，以小班制和紧密的师生互动著称。学校在人文学科、商科和生命科学逐渐崛起，强调实践与社会责任。校园文化强调社区感与学术自由，学生参与科研和社会服务机会丰富，校友在教育、公共事务和商业领域活跃。,,0.21,1400-1500,30-33,3.70-3.90,2025-01-01,https://www.wfu.edu,True,True,True,False,False,6,"['探究型', '全能型']","['community_service_opportunities', 'student_club_support', 'entrepreneurship_friendly', 'recommendation_letter_support']"
